round_id,eval_reward_mean,eval_reward_max,eval_reward_min,num_rollout_workers,boost_score,hessian_eigen_ratio,rollback,rollback_count,duration,cost
16,29.911609573428578,36.976343113766205,22.84687603309095,1,0.2883784161859319,1.9083864063966438,False,1,0.6104176044464111,0.008269594593695653
17,62.92377405445233,104.17232126581602,21.67522684308864,1,0.22863565917414513,2.0040435689857636,False,1,0.4866039752960205,0.008781850408183205
18,114.72473924153402,214.39055775170857,15.058920731359478,1,0.0,0.42691583657433907,False,1,0.38297271728515625,0.009185011934144999
19,125.32975798074051,160.60828318394914,90.05123277753188,1,0.09731600067273545,0.8720743769544628,False,1,0.34189748764038086,0.009544932906627657
20,88.49377039356037,153.69554198249264,23.29199880462809,1,0.08456034671424924,0.8500593579521141,False,1,0.6963722705841064,0.01027801517221663
21,47.768487787173996,60.10010201092409,35.436873563423894,1,0.0,0.6523435419500925,False,1,0.44219541549682617,0.010743521383073598
22,67.13945163712705,96.15452869267686,38.124374581577236,1,0.3773617487048462,1.320737069294685,False,1,0.47441601753234863,0.011242946738814133
23,148.00209268859152,232.08471188226125,63.91947349492177,1,0.25909286690971073,1.4967213660577006,False,1,0.5550472736358643,0.011827253911936727
24,109.99188195645426,117.87045319392557,102.11331071898296,1,0.0,0.8191502827678236,False,1,0.48891305923461914,0.012341940536145813
25,204.37848108876915,221.83238342116886,186.92457875636944,1,0.0,0.7824950546418855,False,1,0.5821888446807861,0.012954820076712857
26,169.1829228275049,224.73699822973063,113.6288474252792,1,0.0,0.4571606169837731,False,1,0.624955415725708,0.013612720672995958
27,222.19872293219936,222.41600307922232,221.9814427851764,1,0.32381590826253503,1.2093569998118527,False,1,0.3710355758666992,0.01400331577860279
28,146.07862329272268,214.75187237780585,77.40537420763953,1,0.33860135747972964,1.7550290157482646,False,1,0.5655815601348877,0.014598712564191702
29,220.2759547003998,230.26390815356095,210.28800124723867,1,0.04399759699491294,1.5347893965604065,False,1,0.6348505020141602,0.015267029876620682
30,173.59661585780472,218.62347752356325,128.5697541920462,1,0.0,0.5872657585977978,False,1,0.3755924701690674,0.015662422097994958
31,191.16047482252097,241.88785406455114,140.4330955804908,1,0.0,0.567028058694833,False,1,0.4308333396911621,0.016115967269297
32,251.83703912683472,260.2962935973183,243.37778465635114,1,0.0,0.4247960661478156,False,1,0.43557143211364746,0.01657450030653565
33,206.07054285270758,224.96444292645506,187.1766427789601,3,0.9760235678328305,2.460246761508116,False,1,1.096452236175537,0.017728753172939204
34,234.98035477283105,242.1093613643616,227.85134818130047,1,0.0,1.2628780075774244,False,1,0.5898959636688232,0.018349746121359457
35,235.6026738708902,245.3102702857958,225.89507745598456,1,0.0,1.1292503701225172,False,1,0.5715322494506836,0.018951407293096
36,219.80246339804526,220.50764761617285,219.09727917991768,1,0.0,0.9025762944111652,False,1,0.561058521270752,0.019542042603080654
37,237.52172153713778,246.2709567392061,228.77248633506946,1,0.0,0.9189033797092603,False,1,0.5770430564880371,0.020149505089830468
38,267.3823503096485,287.8774411622445,246.88725945705247,1,0.29915001374331185,2.4414858163013227,False,1,0.6542651653289795,0.02083826052992432
39,125.95684218964126,137.21746172638237,114.69622265290018,1,0.0,0.7685683151369459,False,1,0.4988527297973633,0.021363410804860386
40,212.04428225327467,241.19830852613427,182.8902559804151,1,0.0020804128163765027,0.8278140619080796,False,1,0.5670454502105713,0.0219603486510265
41,230.61233152347074,242.15261273238326,219.07205031455823,1,0.003583219235603716,0.882789777688758,False,1,0.5689640045166016,0.02255930619010219
42,220.1512742747193,232.0751760553852,208.2273724940534,1,0.14363049860610919,1.551695247537078,False,1,0.6357676982879639,0.023228589049769037
43,204.78748583828857,239.36230624720247,170.21266542937468,1,0.1069620344061126,1.9223473433030682,False,1,0.5894556045532227,0.023849118425080806
44,266.1280808311401,284.214963613618,248.0411980486622,1,0.0,1.3535784631960424,False,1,0.5818076133728027,0.02446159663733141
45,229.62073672644442,236.0061448885851,223.23532856430373,1,0.012371279604860282,1.558416043202338,False,1,0.5713839530944824,0.02506310169511371
46,229.678779878292,245.37316128890643,213.98439846767755,1,0.0,0.9224450445613924,False,1,0.581885576248169,0.02567566198013447
47,230.4182656084242,258.4461537934734,202.390377423375,1,0.008771713468507133,1.0559128583849882,False,1,0.5880210399627686,0.02629468116627799
48,236.14341227686202,245.57183981395607,226.71498473976797,1,0.014141602410911737,1.160510572322782,False,1,0.6033449172973633,0.026929832044030412
49,228.88590491095096,266.4475970186308,191.32421280327114,1,0.007927025864487297,1.212205082449183,False,1,0.5890209674835205,0.02754990386992325
50,202.19641130747033,227.69786627253197,176.6949563424087,1,0.0,0.9310209959423045,False,1,0.4063417911529541,0.027977666395004885
